Liga,Nazwa drużyn,Pick,Dropping Line,Trend
"Soccer, Myanmar - National League",Myawady FC - Dagon FC,"Full time, (total) Under 3.0 / Over 3.0","1,95 → 1,54 ↓↓↓",
"Soccer, Myanmar - National League",Myawady FC - Dagon FC,"Full time, (total) Under 3.0 / Over 3.0","1,95 → 1,54 ↓↓↓",
"Basketball, New Zealand - NBL",Taranaki Mountain Airs - Auckland Tuatara,"1st Half, (total) Under 92.0 / Over 92.0","1,96 → 1,71 ↓↓↓",
"Soccer, CONMEBOL - Copa Libertadores",Flamengo (Corners) - Aucas (Corners),"1st Half, (total) Under 5.0 / Over 5.0","2,32 → 1,89 ↓↓↓",
"Soccer, CONCACAF - Gold Cup",St Kitts and Nevis (Corners) - USA (Corners),"1st Half, (total) Under 5.0 / Over 5.0","2,47 → 2,16 ↓↓↓",
"Basketball, Mexico - CIBAPAC",La Tribu de Hermosillo - Mineros de Cananea,"1st Half, (total) Under 78.0 / Over 78.0","1,81 → 1,61 ↓↓↓",
"Soccer, CONMEBOL - Copa Sudamericana",Santa Fe - Goias,"Full time, Asian Handicap -1.0","2,98 → 2,25 ↓↓↓",
"Soccer, CONMEBOL - Copa Sudamericana",Universitario de Deportes - Gimnasia La Plata,"Full time, Asian Handicap -1.0","2,88 → 2,40 ↓↓↓",
"Basketball, Central America and Caribbean Games - Women","Virgin Islands, U.S. - Dominican Republic","Full time, (total) Under 141.5 / Over 141.5","2,13 → 1,64 ↓↓↓",
"Soccer, Brazil - Serie B",Londrina EC PR (Corners) - Juventude (Corners),"1st Half, (total) Under 5.0 / Over 5.0","2,03 → 1,74 ↓↓↓",
"Soccer, Brazil - Serie B",Guarani (Corners) - Mirassol (Corners),"1st Half, (total) Under 5.0 / Over 5.0","2,11 → 1,83 ↓↓↓",
"Soccer, CONMEBOL - Copa Libertadores",Flamengo (Corners) - Aucas (Corners),"1st Half, (total) Under 5.0 / Over 5.0","2,32 → 1,89 ↓↓↓",
"Soccer, CONMEBOL - Copa Sudamericana",Emelec - Danubio Montevideo,"Full time, (home team total) Under 1.5 / Over 1.5","1,88 → 1,66 ↓↓↓",
"Soccer, USA - USL W League",FA Euro New York - Morris Elite SC,"Full time, (total) Under 4.0 / Over 4.0","2,55 → 1,98 ↓↓↓",
"Soccer, USA - USL League 2",Houston FC - Round Rock SC,"Full time, Asian Handicap -2.0","1,66 → 1,44 ↓↓↓",
